% drifting stream generated from small.arff
% seed: 5
% length: 800
% sudden drift begins at instance 400 (0-based; the 401st @data row)
% pre-drift class weights: 0=0.4256, 1=0.2292, 7=0.1548, 4=0.1042, 5=0.0595, 6=0.0149, 2=0.0060, 3=0.0060
% post-drift class weights: 0=0.0578, 1=0.1073, 7=0.1589, 4=0.2361, 5=0.4131, 6=0.0149, 2=0.0060, 3=0.0060
% post-drift label map: 0->1, 1->0, 7->4, 4->7, 5->5, 6->6, 2->2, 3->3
% pre-drift realized counts: {'0': 165, '1': 93, '2': 1, '3': 2, '4': 48, '5': 28, '6': 3, '7': 60}
% post-drift realized counts: {'0': 35, '1': 21, '2': 3, '3': 2, '4': 64, '5': 176, '6': 5, '7': 94}
% jitter is gaussian noise at --jitter * feature std; class values match the source file
% class codes are categories (see learning/resources/data/README.md); do not use them as features
@relation small_stream
@attribute A1 NUMERIC
@attribute A2 NUMERIC
@attribute A3 NUMERIC
@attribute A4 NUMERIC
@attribute A5 NUMERIC
@attribute A6 NUMERIC
@attribute A7 NUMERIC
@attribute class {0,1,2,3,4,5,6,7}
@data
58.9126,6.50242,48.0151,4.99898,59.0786,71.8724,76.8994,4
41.0908,51.2683,47.8811,5.00704,52.9027,75.0619,77.824,1
81.1907,35.9121,47.9163,5.00043,61.7656,72.7356,71.6401,1
67.9975,62.825,47.9184,5.01846,73.2126,1.91513,4.25598,5
66.1259,45.1689,48.1817,5.00857,66.823,61.7362,66.24,4
37.5995,3.31245,48.1504,4.99121,63.1288,24.6923,34.4716,0
52.568,49.6961,48.3995,5.0025,53.7098,15.3975,25.9769,0
49.6452,49.4727,48.2217,5.0225,52.0575,14.7509,26.1477,0
7.14728,62.0513,47.86,5.00654,53.5186,69.4533,72.1852,1
20.0721,50.4093,47.6963,4.99157,5.69685,29.2893,39.4815,0
35.8805,55.2291,47.9751,4.9942,39.7071,38.2213,48.0405,0
37.102,43.8481,47.7136,4.99313,43.4092,39.1325,48.8218,0
77.8318,40.6247,48.1639,5.00336,66.8973,80.1367,82.7474,4
42.516,51.8302,47.9746,5.01263,54.6708,76.1553,78.6067,1
62.613,7.69536,47.2661,4.99831,45.4039,31.8783,28.5864,7
23.114,57.7366,47.9522,4.99973,36.5855,53.8706,58.2394,0
25.3562,26.0551,48.2157,5.00584,34.6271,25.1418,36.0549,0
65.7714,78.7535,47.6995,5.00543,4.68755,36.2544,38.2952,7
69.9145,59.7588,47.81,4.98595,45.4461,42.4598,53.2086,7
36.1944,40.9657,47.6462,5.00473,54.9984,32.3339,41.2781,0
73.7764,86.4115,47.8384,5.01253,15.4617,54.4154,22.7286,7
32.5263,47.0215,47.6912,4.99982,53.0435,18.0744,27.5691,0
82.7573,54.9767,48.3254,4.9967,74.2969,91.1448,9.22671,4
39.9994,45.9715,47.5993,5.00271,39.4052,74.1773,79.1002,1
2.88001,51.1513,47.5298,5.00566,39.9565,60.9514,34.1829,1
27.8411,42.3991,47.2583,4.99859,37.3828,37.9349,44.1174,0
61.1813,42.129,48.6268,5.0103,47.8509,76.4616,9.98241,4
18.3317,40.5004,48.3292,4.98843,45.7878,41.8486,4.08765,0
36.7425,55.4283,47.9041,5.00953,43.8531,44.9916,53.4113,0
36.1772,39.5269,47.1772,4.99489,47.9844,21.2588,23.4284,0
3.86211,41.4545,47.0735,4.99816,55.8793,21.5534,34.6261,0
27.1955,5.18439,48.3275,4.9945,35.302,26.7689,37.6725,0
7.32791,57.4945,48.2125,4.99932,70.7079,60.3711,66.8768,1
67.2402,57.2086,48.1018,5.01132,46.6513,44.4934,51.929,7
10.9745,5.59148,47.6952,4.9913,56.9216,73.0692,69.3056,1
73.9056,35.3249,48.0984,5.00003,54.194,90.8233,91.0999,1
47.4266,53.9331,47.7535,5.02164,57.1053,69.6681,73.5387,1
28.6097,27.3203,48.4575,4.9919,43.2606,24.8848,32.0964,0
4.89563,46.2883,47.6704,4.99864,51.0158,50.4996,55.806,0
63.7403,71.3558,48.0063,4.99184,66.5063,40.3384,26.9446,5
82.9921,55.3464,47.3706,4.99944,73.8828,90.5944,7.74978,4
5.14205,31.2521,47.2462,5.01299,41.2761,28.4014,39.0805,0
28.5148,37.421,48.2763,4.98611,4.10221,34.14,42.1252,0
44.9206,54.5872,47.6776,4.98836,4.97886,45.3224,55.8192,0
27.0603,40.9361,47.9444,4.99643,36.895,40.2898,43.2445,0
42.3176,35.8537,48.2738,4.98182,58.566,13.5613,27.2115,0
29.814,26.8325,47.8349,4.97923,4.87528,41.837,7.68741,0
31.6735,44.7827,47.7475,4.97774,37.6301,24.5645,36.0539,0
21.4203,44.5091,47.8158,5.00422,49.6902,15.267,27.6899,0
40.2463,52.5041,48.8125,4.99801,59.004,2.54981,32.7305,0
62.1878,40.0195,48.6149,4.99038,56.9437,79.8846,79.6574,4
60.9845,64.928,47.7329,4.98496,38.3489,44.2468,34.7286,7
63.6559,46.3275,47.7015,4.99363,48.4244,73.7755,76.6749,4
25.0285,3.93127,47.3801,4.97998,47.3257,34.5478,40.8579,0
86.0794,55.093,48.5058,5.00531,63.0416,79.6367,83.4286,4
66.7987,63.9941,47.921,4.98908,73.662,4.21639,2.9702,5
73.181,35.6558,47.7263,4.99823,52.4318,89.6145,93.5976,1
30.0498,46.0076,48.5524,5.01483,41.3038,23.5022,31.3245,0
79.3478,33.298,47.5759,5.00224,57.3911,77.7863,78.5658,4
68.1391,83.3592,47.4876,4.99642,37.8266,64.1167,56.8609,7
49.905,43.4721,48.1539,5.01594,48.6323,3.13009,4.68793,0
62.2117,64.3037,47.1217,4.98108,38.0187,43.5146,36.2294,7
56.2115,38.9587,48.2937,4.98834,4.83881,49.526,32.0903,4
53.2164,49.7995,48.1366,5.0186,4.34536,84.5043,89.3423,1
54.2186,4.53281,48.1852,5.00135,49.0613,34.4021,46.4469,0
34.197,50.3507,48.1203,4.99165,67.2833,8.5004,7.6292,1
7.87946,37.8552,1.14351,4.99443,50.2789,82.1676,83.5913,3
6.60119,53.7859,47.8255,4.99625,6.70387,84.9324,87.7509,4
64.9702,45.4169,47.6891,5.00231,59.397,4.09313,5.09765,0
37.5113,44.7491,48.2112,4.99141,48.1928,24.1568,29.486,0
67.1452,80.1312,47.9545,4.99781,38.8013,65.9949,56.8754,7
59.6144,50.1089,48.1323,4.99805,53.0063,45.8184,36.2396,0
63.232,50.066,48.1995,5.00113,54.8573,79.2232,78.6602,2
43.8109,37.2902,47.16,4.97879,52.0487,34.3563,44.869,0
34.5995,48.9182,48.0578,5.02795,56.7488,2.2627,47.1505,0
16.159,43.2875,48.579,5.01028,54.5486,26.9614,36.9071,0
4.90631,44.6054,48.0307,5.01502,39.2845,22.0768,2.87769,0
12.0342,42.4294,48.5168,5.01181,61.8372,6.8088,74.65,1
37.0168,52.1026,47.9076,5.00743,42.3411,43.7,35.1649,0
66.5225,81.0364,47.7572,4.98816,24.2896,42.8469,23.6365,7
33.7752,32.9085,48.2257,5.00334,44.9791,3.32091,28.6178,0
25.0756,43.857,47.5813,5.00181,49.0125,23.3586,34.6045,0
67.762,79.089,47.5374,4.99071,43.6035,44.9697,41.2724,7
66.7175,39.5305,47.8695,4.99306,35.8413,37.7991,45.0624,0
62.9492,42.4375,47.8105,4.98565,58.5949,79.1126,80.5097,4
7.41811,37.898,48.1642,5.01103,65.889,66.727,66.8024,1
63.3739,66.5623,47.9087,4.99786,63.7742,40.9433,27.1207,5
4.54017,38.3749,47.7172,4.99571,57.7429,41.201,50.6297,0
26.3272,37.7,47.6043,5.0062,51.3054,76.3981,79.5123,1
-0.23262,49.0515,48.2925,4.99811,40.4306,67.3701,21.4853,1
37.0135,40.5717,48.1433,4.99527,50.8533,72.1397,74.0519,1
68.2213,57.9515,48.1662,5.02253,46.9586,35.0411,30.9288,7
67.4034,70.9225,48.0132,4.99008,41.081,5.70668,32.6986,7
86.8265,51.3679,48.3068,4.99463,61.8896,76.7507,79.2034,4
77.8269,56.8754,47.7903,4.98969,88.8907,53.5695,2.76162,5
53.5951,46.9902,48.0046,5.00452,28.3224,32.1916,43.8697,0
56.3468,64.9183,48.4051,5.00849,76.9806,37.4743,44.7572,5
66.7476,7.66854,48.2004,5.01536,47.5201,45.1903,34.0398,7
32.965,32.3684,48.3095,5.00016,7.31802,5.86625,1.82625,0
41.8871,27.5014,47.9192,4.99712,41.8504,24.9867,39.3173,0
63.0632,42.5144,47.5647,4.99845,57.2502,81.7022,79.992,4
68.1538,82.4731,47.9901,4.98647,37.4055,63.8117,55.9438,7
22.9,40.8747,48.0587,5.00213,49.6152,23.8408,35.7791,0
42.1117,39.7082,47.4782,4.99957,54.5961,33.0878,43.0685,0
43.5289,36.5001,48.8024,5.00651,45.1333,51.3126,60.1907,0
66.3814,48.183,48.2823,5.01219,54.3938,7.54345,75.1738,4
83.9237,54.1274,47.7761,5.00221,62.7322,81.449,82.5491,4
61.0882,53.1938,47.2038,4.99939,53.6785,66.677,53.7074,1
58.0411,38.2204,47.8624,5.00552,6.15677,50.4251,32.3461,4
51.656,35.6538,47.6192,5.00249,34.9143,36.3913,44.6368,0
47.0294,26.6434,47.3681,5.00261,55.5078,2.34422,25.1109,0
34.5574,28.8652,47.8861,4.99249,41.3517,35.2725,42.6412,0
25.0495,47.1251,48.3998,5.00665,44.3521,16.8895,29.6353,0
71.8304,56.5302,47.5902,5.01106,47.7068,35.7164,29.3461,7
65.0536,75.2865,47.8458,4.99702,64.0329,71.5631,65.5876,1
59.5372,6.20711,48.0139,4.99516,43.3094,37.3458,38.6984,7
57.6697,40.8975,48.2131,5.01314,5.57662,48.2249,34.2514,4
65.9765,60.1082,47.718,5.01096,50.9805,35.1728,38.5359,7
3.68401,43.8039,47.4953,5.00251,45.6377,50.2255,57.5083,0
71.2562,50.816,48.3162,5.00806,64.4885,2.63398,100.821,1
63.2613,77.2937,47.9649,5.02108,46.4637,34.8726,37.4611,0
60.4446,72.8728,48.0197,5.00809,51.2757,31.8668,31.8653,5
50.5318,5.34006,48.0167,4.99242,45.3678,30.3902,34.9885,0
49.0761,39.5929,47.3926,5.00238,54.3367,77.5507,81.6197,1
44.8547,34.8695,47.6097,5.01168,3.08851,32.8104,44.5237,0
49.7751,40.5992,47.6402,5.00647,51.1179,7.84643,89.4038,1
68.2677,8.33557,48.1905,4.98876,47.9789,55.8474,27.3872,7
79.2732,68.6238,48.6789,4.97506,82.598,3.16492,30.5501,5
54.3869,47.8268,48.4292,5.01167,58.4634,78.9967,8.47009,1
6.59988,74.2767,1.29252,4.98913,77.7587,60.6692,56.2669,5
28.8144,42.5828,48.4429,4.99179,48.2136,39.6138,47.5314,0
28.5812,2.3953,48.095,5.00898,43.9544,3.30335,15.6409,0
56.3787,54.4604,47.7845,5.01313,55.5525,6.64202,72.4947,1
3.23673,5.49586,47.5949,5.01693,64.0299,81.1439,83.7978,1
22.6593,47.0903,48.5128,5.01215,58.7669,86.6926,88.8523,1
65.0955,56.3881,47.8453,5.00891,8.8151,33.4571,25.5868,5
37.3683,51.199,48.4152,4.9948,61.1633,71.0221,73.9611,1
62.2932,55.6618,47.8437,4.99715,34.3294,35.6421,31.0605,0
5.77113,40.7764,48.1703,5.0106,55.314,22.787,32.6354,0
63.602,4.91339,47.5985,5.00905,43.8735,33.6421,27.2906,7
55.9332,52.6885,47.9167,5.02133,35.8057,36.0712,46.3843,0
35.6443,43.8052,48.1114,4.99899,46.399,86.3246,90.8227,1
75.3333,83.8988,47.846,5.00661,36.3306,53.6009,32.5459,7
72.1642,6.43762,47.4364,4.96697,64.0972,65.3317,67.7206,1
37.6287,45.7517,48.2614,4.98743,38.2617,78.2622,16.1843,1
79.397,35.3252,48.3212,4.97422,48.1254,83.0301,9.90492,4
33.1897,40.274,48.0843,5.00617,52.6789,27.5668,38.8625,7
60.5427,41.6697,47.8516,4.99301,60.418,78.1602,81.3147,4
69.1537,89.9146,47.4877,5.01525,72.3457,4.97772,25.5772,5
64.923,44.3829,47.7975,4.99277,67.8228,61.6364,67.0043,4
66.8136,56.3307,47.9732,5.00249,33.4342,35.8235,29.3891,0
36.1457,55.6545,48.2592,4.99056,42.2289,44.5989,54.2824,0
53.8096,41.3434,47.5015,4.99669,15.691,28.2237,39.0522,0
19.6251,37.9272,48.4633,4.99232,45.1851,43.3463,7.67249,0
29.9408,53.5366,47.9828,4.9997,41.4573,31.7025,40.8255,0
68.5509,50.7332,47.543,5.01543,64.0865,0.933459,101.287,1
85.4943,53.3426,48.5718,5.00658,76.4502,91.8536,6.72326,4
10.7795,42.6134,48.0005,5.01645,64.6245,6.29486,71.3057,1
25.7854,4.37431,48.1888,4.99415,48.4983,32.0189,41.4316,0
77.8054,35.1291,48.2727,4.99438,46.8323,84.0933,6.49781,4
33.6343,49.7049,48.1422,4.99847,55.4244,3.17034,46.5331,0
86.3061,55.0135,48.713,4.99462,63.3322,81.5147,81.5248,4
27.264,3.07747,48.3538,4.99911,43.9927,2.59092,16.676,0
57.3997,67.8566,48.6029,4.99218,76.4705,35.4476,43.9834,5
65.9109,77.0588,48.0459,4.9988,42.8244,44.6057,43.0638,7
62.838,84.4134,47.4732,5.00033,4.71035,38.3627,19.0102,7
23.0437,55.4001,47.8857,4.98741,61.892,34.7623,43.5008,0
47.1217,47.0126,48.5787,5.0053,63.5217,75.3397,77.1463,4
65.8505,83.8943,48.1685,4.99519,75.6189,53.1408,37.2296,5
55.1259,47.8895,48.0405,4.99824,56.0959,77.1272,6.86714,1
25.7677,33.015,47.857,5.02198,38.4099,4.01298,4.36428,0
21.9876,59.1149,48.5882,5.00179,37.4329,52.9622,56.814,0
67.5413,54.1128,48.7234,5.00813,34.29,37.8979,29.7489,0
38.7261,51.7937,47.3819,5.00079,43.1919,40.7083,35.1127,0
64.5772,65.861,48.1202,5.02121,39.7691,37.8897,4.04466,7
5.93812,4.32338,0.943619,4.98872,55.6858,76.6984,7.94962,1
70.0504,51.1863,47.4578,5.0042,63.2767,0.0840714,101.04,1
41.6183,59.6064,48.156,5.00866,53.6308,49.4401,55.4599,7
66.8739,72.2918,47.9265,5.00137,31.5283,39.5477,42.7186,7
45.9482,54.3621,48.1485,4.98349,56.6899,67.9516,74.4097,1
70.6253,4.21111,48.8981,5.01219,70.5659,5.5929,73.1095,1
2.82692,57.2606,48.413,5.00223,70.0873,61.5534,67.1814,1
43.6821,51.2603,47.9859,4.98607,42.7557,46.7921,56.4407,1
61.3424,56.7942,48.1557,5.01657,50.6521,9.68257,1.66433,7
24.215,48.2868,48.1623,5.00872,44.1249,17.1786,29.3958,0
72.9358,25.9798,48.0261,4.99292,56.4632,73.7531,76.8079,4
63.4563,74.1615,48.1783,5.01001,45.685,34.662,38.6608,0
76.5903,41.5764,48.3513,5.00723,6.55888,58.0812,61.9312,4
60.7539,55.7751,47.2721,4.99893,54.4551,7.96507,81.546,1
50.1913,46.4942,48.5336,4.99251,59.7093,29.8415,40.2966,0
70.5624,50.8994,47.5647,5.00808,63.7991,2.79106,97.3481,1
37.8347,51.5956,47.4381,4.99776,42.183,41.6923,37.6648,0
68.1702,53.5217,1.25784,4.99851,66.2649,58.5317,16.204,6
35.2738,53.0264,48.0822,4.99603,40.2679,36.6049,44.3207,0
21.55,47.7668,47.2895,4.9981,59.7276,85.8646,88.831,1
23.2962,48.7767,48.8831,5.01379,59.5393,87.7543,87.88,1
43.9308,57.1911,48.4096,5.00785,52.9507,51.3053,54.2734,7
45.7114,61.6504,47.5956,4.98954,47.5263,86.1665,89.1251,1
63.2327,69.5574,48.0484,4.98898,65.7729,42.1073,27.6879,5
16.312,38.3289,48.3672,4.98609,44.0391,41.3093,5.33415,0
48.6495,46.7092,48.4233,4.98289,21.1092,16.6165,26.9562,0
40.3897,33.6538,48.003,4.9881,58.4298,14.2025,28.7959,0
66.8708,66.398,48.1631,4.99605,46.9145,2.12095,33.6592,7
21.5783,33.7085,47.8848,5.00331,49.2729,29.931,38.7749,0
54.3226,56.897,48.5953,4.99369,41.9212,48.8918,50.633,0
34.4402,50.713,48.4828,4.99215,68.6635,10.4252,8.37926,1
64.3929,76.72,47.9704,5.01897,45.0666,33.505,38.6118,0
3.57301,5.27646,47.9845,5.01532,43.6936,39.9285,47.559,0
82.9715,47.6768,47.5315,5.01877,64.1501,75.9315,79.671,4
4.6986,3.64865,47.105,4.99656,65.1728,81.3807,84.9556,1
4.22281,45.1584,47.2579,5.02096,38.9604,23.5782,-0.112569,0
67.7433,44.0727,48.0864,5.00067,58.6844,73.3632,77.034,4
65.3724,85.8862,47.969,4.99594,34.1108,40.0021,36.7593,7
68.4043,7.78312,47.7627,5.0082,45.8382,57.3435,24.8771,7
68.1441,40.1471,48.1551,5.01255,57.0936,78.0974,79.3582,1
48.8972,42.5539,48.4903,4.98997,44.6818,25.5831,35.1415,0
24.1939,3.29133,47.7609,5.01107,40.1767,28.6512,39.4016,0
66.8104,43.272,47.6875,4.99399,58.811,75.3216,76.4446,4
44.5253,52.8461,47.6089,4.98917,47.5216,25.275,35.7322,0
37.4862,40.3501,48.0384,5.00459,48.3492,44.6424,52.7872,0
67.094,65.2816,47.815,5.00913,41.5293,4.4726,23.8998,7
41.9478,37.1672,48.4182,5.02306,47.4287,30.0796,39.0321,0
63.8622,75.8825,48.5727,5.02107,64.0771,75.1852,67.4914,1
44.616,60.6501,48.6797,4.99478,48.2455,86.6574,86.8412,1
22.2004,35.0873,47.4198,4.99328,50.9581,28.2425,40.367,0
34.3727,33.5381,48.4445,4.99387,38.5824,35.9333,43.4474,0
7.62755,45.5044,48.4079,5.00623,45.6012,82.6056,84.6124,1
70.3747,70.0251,48.0659,4.9999,2.90577,53.6749,37.7538,7
43.1993,34.7877,47.3324,5.00398,54.8609,55.0236,59.7832,0
20.0084,52.2477,47.5199,5.01929,3.25076,30.3397,41.3563,0
79.9454,36.3412,48.2842,4.99545,47.4363,83.2428,7.5491,4
69.8583,56.3714,47.8776,5.00358,49.3383,36.2234,33.041,7
29.0966,41.9253,47.1563,4.99906,37.6949,36.9933,44.1059,0
5.17874,47.6917,48.0465,5.00059,49.3609,50.9416,55.2763,0
70.5268,71.8165,48.0419,4.9703,66.5178,42.905,36.4752,5
62.1028,45.76,48.3895,5.01205,51.5301,82.1105,83.8702,1
32.8458,34.3436,47.7062,4.99009,40.795,35.2831,44.8448,0
63.4463,82.6339,47.6376,4.99964,2.764,37.1485,18.0137,7
53.284,52.8669,47.2715,4.99569,62.7203,75.1771,77.4967,1
18.2131,37.9295,48.4572,4.99463,44.6324,38.9053,4.13071,0
52.9356,45.452,47.6646,5.00093,28.017,32.5498,44.7293,0
72.8303,36.3612,47.8665,4.98964,52.0409,90.7214,91.1703,1
-0.430259,39.2892,47.9932,4.99721,41.6453,44.7121,53.7228,0
51.8673,36.7117,47.147,5.00388,34.7197,35.8829,45.1714,0
60.5248,84.047,48.8737,5.00588,46.3244,35.2043,3.67853,7
69.0948,5.7628,47.3711,4.9784,46.2907,58.5159,23.7435,7
32.5472,36.0906,47.8975,5.01013,57.2917,93.8821,96.4325,1
63.7877,82.2839,47.9978,5.01903,36.1045,46.2761,0.252635,7
51.2795,55.3785,48.2283,5.00756,41.4542,46.3156,55.0621,0
64.3931,58.5996,47.5727,5.00667,47.8393,44.8466,52.0225,7
5.53292,29.652,48.0993,4.9998,42.6412,33.502,43.3479,0
48.1006,48.5722,47.309,4.99337,52.8638,77.6751,69.2466,1
46.4215,55.7585,48.3934,5.00382,5.78972,47.6416,55.9409,0
53.0795,55.863,47.7267,4.99828,60.837,74.6154,78.584,1
37.3617,52.2658,48.2471,5.00974,42.0061,42.2218,36.62,0
60.2792,76.2931,47.9788,5.01229,47.2056,48.6334,54.1946,7
65.8257,88.899,47.5385,5.00494,72.9197,6.09309,27.3874,5
52.3673,38.9782,47.6668,4.9933,44.1828,28.7714,36.9863,0
25.5771,3.4147,48.2978,5.0042,44.5075,43.7986,49.2407,0
