% drifting stream generated from medium.arff
% seed: 5
% length: 2000
% sudden drift begins at instance 1000 (0-based; the 1001st @data row)
% pre-drift class weights: 6=0.4488, 5=0.2975, 7=0.1797, 8=0.0357, 4=0.0333, 3=0.0041, 9=0.0010
% post-drift class weights: 6=0.1849, 5=0.2790, 7=0.4619, 8=0.0357, 4=0.0333, 3=0.0041, 9=0.0010
% post-drift label map: 6->5, 5->6, 7->8, 8->7, 4->4, 3->3, 9->9
% pre-drift realized counts: {'3': 6, '4': 33, '5': 289, '6': 448, '7': 183, '8': 40, '9': 1}
% post-drift realized counts: {'3': 1, '4': 27, '5': 171, '6': 298, '7': 35, '8': 466, '9': 2}
% jitter is gaussian noise at --jitter * feature std; class values match the source file
@relation medium_stream
@attribute A1 NUMERIC
@attribute A2 NUMERIC
@attribute A3 NUMERIC
@attribute A4 NUMERIC
@attribute A5 NUMERIC
@attribute A6 NUMERIC
@attribute A7 NUMERIC
@attribute A8 NUMERIC
@attribute A9 NUMERIC
@attribute A10 NUMERIC
@attribute A11 NUMERIC
@attribute class NUMERIC
@data
5.79698,0.29993,0.11397,1.72733,0.0362629,57.5124,165.093,0.992667,3.38684,0.586187,10.4941,6
5.91611,0.170768,0.281594,3.27777,0.0287017,31.6484,118.948,0.989108,3.40897,0.342888,13.5767,7
7.39067,0.366814,0.337639,5.58731,0.0615149,12.7532,94.7181,0.996511,3.48585,0.700679,10.6179,6
6.34572,0.318686,0.166073,17.5227,0.0606871,50.835,190.266,0.998914,3.13354,0.476061,8.68556,6
6.46477,0.441837,0.0716767,0.846521,0.0291403,8.949,133.488,0.990341,2.9654,0.281292,10.7782,5
6.92831,0.282215,0.406982,8.32998,0.0351211,15.9605,96.6247,0.994346,3.1732,0.329841,10.207,5
6.86587,0.297342,0.267942,11.3291,0.0291079,20.3995,96.347,0.992832,2.95279,0.380419,11.7983,6
5.99499,0.199395,0.387844,1.47101,0.0333595,37.8606,103.579,0.9885,3.116,0.521031,12.6985,6
6.40658,0.268234,0.315853,4.45889,0.239254,60.0161,176.853,0.994935,3.11446,0.48276,9.46632,5
6.74254,0.329498,0.364363,3.4469,0.0207987,18.8505,86.1856,0.989893,3.14126,0.531016,12.7512,6
6.59966,0.104138,0.247585,14.7453,0.0537143,43.0101,96.8529,0.996824,3.19619,0.351738,9.75457,6
6.26849,0.388539,0.242227,6.68317,0.0708327,8.77169,117.012,0.994427,3.14749,0.356956,10.1651,4
7.19295,0.259324,0.274417,14.3964,0.0528898,54.9291,202.892,0.99853,3.11424,0.373428,8.94624,7
6.02489,0.189381,0.26151,1.45983,0.0378875,30.3781,103.624,0.990063,3.32025,0.407483,12.4749,6
5.91306,0.318943,0.197405,14.6743,0.0416563,38.2139,117.292,0.996875,3.16357,0.434357,10.2745,5
6.85274,0.24451,0.29142,2.63476,0.0382507,29.6543,75.9153,0.991016,3.01428,0.358122,11.8369,7
5.63583,0.266324,0.273195,4.09747,0.200972,72.1296,187.846,0.994232,3.2736,0.385209,9.45676,6
6.58224,0.203582,0.493199,17.9502,0.0422531,42.5315,158.868,0.99964,3.27526,0.382475,8.70034,6
8.40646,0.395759,0.695596,13.396,0.0433336,30.6899,199.399,0.99805,3.05865,0.646898,9.74205,5
6.8085,0.201007,0.276566,1.32668,0.0341129,19.8758,73.7194,0.990157,3.14527,0.372524,11.7118,4
6.87035,0.255404,0.340946,14.9095,0.0604217,42.5892,163.21,0.997087,3.23835,0.513487,10.5523,3
5.90237,0.377853,0.30341,1.52259,0.0303842,35.2489,98.0807,0.990001,3.36498,0.559816,11.9952,7
5.03293,0.437976,0.0404647,18.9496,0.0406856,38.0545,133.139,0.998504,3.36302,0.569273,10.1952,6
5.82921,0.179195,0.373305,1.53556,0.0360811,19.0123,74.2219,0.988495,3.09515,0.492338,12.7873,7
7.61255,0.12769,0.340224,9.14585,0.0608129,39.2743,127.503,0.996429,3.21143,0.396041,9.58376,5
5.43032,0.23382,0.181622,2.64482,0.0510118,21.4494,146.982,0.991787,3.23801,0.457649,10.3746,5
6.30939,0.300211,0.22622,15.5785,0.0602197,25.5249,141.923,0.998417,3.07155,0.493119,9.00919,5
7.54806,0.209649,0.601461,2.08121,0.0466431,45.4898,167.735,0.993722,3.05336,0.537292,10.0189,7
7.07164,0.316822,0.342047,1.81806,0.0399986,24.3496,127.15,0.99178,3.18719,0.629461,12.2204,6
6.29434,0.378848,0.168814,8.42657,0.0799483,49.3716,214.818,0.99789,3.47772,0.653597,9.33977,4
6.23814,0.381182,0.246941,4.64925,0.0373543,43.7816,136.769,0.992151,3.22252,0.433249,11.2226,7
6.67879,0.485063,0.317573,0.683784,0.0196314,21.3985,124.007,0.98896,3.14914,0.531409,12.6119,7
7.11514,0.427813,0.601665,11.8296,0.0441296,51.9652,156.302,0.997135,3.11731,0.452374,8.82722,5
6.74722,0.241292,0.343715,6.7065,0.0479138,44.0281,170.065,0.994415,3.29446,0.538963,10.4908,7
6.80171,0.273871,0.297019,14.171,0.0296848,34.1453,132.544,0.995248,3.35585,0.509947,12.0049,7
8.46251,0.310545,0.316224,1.00727,0.0221431,51.4059,151.456,0.99039,2.93619,0.3212,11.6358,5
7.8428,0.263929,0.489859,3.51222,0.0267771,27.8152,84.8891,0.99164,3.03514,0.322863,11.3867,7
5.27705,0.34142,0.369402,6.41075,0.0302977,42.6589,133.032,0.990997,3.24916,0.409167,12.388,6
6.97859,0.44898,0.338399,19.4498,0.0381634,13.6561,68.1417,0.99751,3.05208,0.385665,11.0703,6
6.90222,0.38497,0.384267,13.8017,0.113529,14.8676,95.7884,0.997808,3.01302,0.477136,9.2257,5
5.96003,0.279357,0.250889,1.84955,0.0428073,8.59709,111.177,0.992914,3.07713,0.553552,8.97209,5
5.84528,0.278111,0.300244,4.35852,0.0271716,35.3778,104.168,0.989619,3.25775,0.590264,12.6572,6
7.10556,0.356047,0.242375,15.2949,0.0540114,47.0407,198.352,0.998644,3.12308,0.503556,8.88706,5
8.18802,0.377174,0.491229,13.5184,0.0424096,57.6778,166.161,0.998334,3.10265,0.535025,9.46479,5
8.5306,0.171814,0.482607,8.33988,0.0478703,22.7823,106.875,0.994812,2.88256,0.343585,10.4409,4
5.69587,0.23183,0.246345,8.11937,0.0435634,16.6747,107.033,0.995109,3.44362,0.615079,10.265,6
5.79021,0.187817,0.245814,1.29732,0.0428874,38.6703,126.669,0.99371,3.77063,0.6033,10.5418,5
7.37003,0.205016,0.401025,2.37051,0.047854,23.4188,87.3812,0.99035,2.93454,0.348566,12.0499,6
6.6768,0.301889,0.322022,14.6453,0.0355356,7.51902,78.5915,0.994333,3.14142,0.339244,12.5254,5
7.24576,0.25213,0.489188,4.64873,0.0272396,32.2083,102.912,0.993726,3.23274,0.548139,10.767,6
6.191,0.206621,0.273846,1.68893,0.0366279,40.4062,148.962,0.993605,3.48085,0.704278,10.5749,7
6.36096,0.399637,0.234682,5.07829,0.0369738,44.2332,130.576,0.991671,3.24174,0.437516,11.2602,6
7.41712,0.201183,0.362707,17.1508,0.0488081,43.499,192.899,0.999729,3.03997,0.421766,9.16086,6
6.05557,0.341684,0.281719,6.30801,0.048492,28.7511,131.59,0.994666,3.47841,0.568438,10.7846,6
5.60363,0.385033,0.246913,5.01521,0.034348,28.2335,76.4394,0.990487,3.29008,0.360105,12.7206,5
6.84558,0.240731,0.233709,3.30294,0.0569677,13.3603,85.7396,0.994058,2.9907,0.473575,9.40371,4
6.57002,0.556285,0.159045,3.48193,0.0447718,28.1529,92.9653,0.994124,3.11572,0.342316,8.98694,6
7.80478,0.208226,0.262159,9.12478,0.0468717,37.6465,126.989,0.996985,3.23846,0.538427,10.2126,6
6.93456,0.39822,0.41556,5.88787,0.0669925,40.9539,175.157,0.995569,3.11883,0.538006,9.42019,5
6.78075,0.371159,0.294432,9.64695,0.0379956,41.1853,153.62,0.99345,3.1156,0.374859,11.4918,6
6.04679,0.296204,0.331553,2.44176,0.043406,30.6933,127.845,0.989721,3.31838,0.418694,12.5596,6
6.30034,0.364477,0.510289,6.75228,0.0490403,35.7097,149.418,0.9946,3.10409,1.0111,10.505,6
7.3213,0.234888,0.349403,15.1045,0.049219,37.8555,173.529,0.998308,3.03058,0.425291,9.02896,6
6.10512,0.209374,0.385709,1.7603,0.038523,37.6192,128.03,0.989812,3.19936,0.433023,12.094,6
6.68605,0.381021,0.29629,2.77897,0.0352143,15.0157,100.931,0.988811,3.04413,0.37467,12.5266,6
4.68139,0.329285,0.155564,0.987911,0.0375829,70.297,167.516,0.992184,3.47735,0.462152,10.5404,5
6.40065,0.237738,0.720987,1.14503,0.172907,21.8278,112.688,0.992985,3.27282,0.392048,9.89574,6
6.26013,0.250932,0.215307,11.9819,0.0524875,63.2605,179.777,0.996408,3.06211,0.579473,9.4034,6
7.28821,0.214855,0.504694,13.739,0.0480883,56.4063,188.811,0.999392,3.22439,0.66244,9.08993,6
6.38127,0.41328,0.013884,6.18772,0.0463331,18.8871,72.3487,0.99383,3.19578,0.423735,9.92904,5
8.04042,0.459969,0.32172,4.07696,0.0338919,40.3419,139.26,0.991031,3.17985,0.442626,12.8,7
7.22202,0.291064,0.403426,7.50217,0.0236048,56.6164,174.333,0.992973,3.03156,0.319454,11.4518,6
6.77294,0.464639,0.275756,26.1171,0.0333791,26.6159,125.941,1.00324,3.05032,0.427988,10.5516,6
6.79921,0.219949,0.30663,6.79068,0.043446,41.4358,181.1,0.994679,3.25637,0.567656,10.6357,6
6.88381,0.188454,0.353735,6.75675,0.0465661,51.2169,124.607,0.993298,3.09724,0.440024,10.6823,7
5.92144,0.335992,0.308343,1.74512,0.0302014,36.7831,138.874,0.98879,3.40673,0.40217,12.8653,7
6.13807,0.170006,0.238879,1.24814,0.0446253,17.5713,75.7464,0.992779,3.65208,0.573597,10.3254,6
5.88058,0.202948,0.289854,12.9718,0.0379139,28.7715,129.943,0.994462,3.30986,0.576646,11.7443,7
6.69766,0.209686,0.247811,6.26486,0.0430553,28.2137,101.433,0.993637,3.12141,0.326145,10.2807,6
7.12141,0.368017,0.400008,11.9828,0.0341317,33.4993,209.188,0.996342,3.10285,0.50754,9.7406,6
9.37594,0.305871,0.487109,1.03911,0.0421674,33.7057,148.075,0.994696,3.11003,0.460721,9.90785,5
7.1997,0.184073,0.280501,11.2903,0.060847,45.4121,147.528,0.997536,2.99199,0.595118,9.23293,6
6.47712,0.194644,0.321261,1.62973,0.0390582,32.5023,133.244,0.992151,3.35707,0.53958,10.8831,7
7.5803,0.202506,0.363678,1.86931,0.0419815,22.4914,115.533,0.992281,3.28799,0.542906,11.3104,6
6.51591,0.346219,0.312553,10.3998,0.0705685,59.2309,172.203,0.996916,3.18097,0.501771,9.42735,5
8.2746,0.226148,0.339454,0.887386,0.041641,20.5008,112.893,0.992542,2.99961,0.469168,10.1852,6
6.54349,0.327303,0.302941,2.76357,0.0522221,20.1046,130.917,0.989558,3.12253,0.519386,12.826,6
6.78138,0.220972,0.310656,6.808,0.036785,34.1068,121.745,0.99159,3.02369,0.388592,11.981,8
5.71257,0.31622,0.502617,2.49358,0.0475573,18.0456,154.759,0.992724,3.2225,0.647153,10.0404,6
5.81726,0.191704,0.325287,3.8897,0.0391728,48.7471,135.217,0.991149,3.15981,0.431174,11.2552,7
8.23872,0.326444,0.418735,0.968844,0.0320781,17.1075,92.6762,0.990977,3.18838,0.31981,12.4261,3
7.99462,0.28866,0.409678,1.6741,0.0428379,49.4143,151.7,0.993245,3.46529,0.488563,10.6974,8
6.1655,0.315825,0.111785,4.89776,0.0530508,5.34959,100.644,0.994062,3.16244,0.491013,9.29205,5
7.97256,0.551852,0.417253,12.6006,0.210277,36.7335,214.189,0.998665,2.99159,0.562458,9.32545,5
6.37959,0.308242,0.304223,12.5297,0.0452861,53.929,160.877,0.995456,3.01921,0.595797,10.2216,5
5.80724,0.278851,0.336045,2.31132,0.036661,24.5636,124.619,0.989622,3.36525,0.326494,12.8089,8
6.46395,0.366456,0.158459,1.71456,0.0526496,10.5918,111.306,0.994092,3.20229,0.387364,8.47352,5
6.86507,0.19129,0.238293,9.81661,0.0583243,64.3841,190.325,0.995391,3.12173,0.512331,10.6033,6
7.63445,0.476727,0.284653,10.5845,0.0486308,56.9871,204.751,0.997475,3.23642,0.458573,9.32156,5
6.27811,0.36608,0.376001,1.68823,0.0219671,12.4989,77.8689,0.988859,2.95414,0.385622,12.2964,6
7.51359,0.260889,0.317291,0.919882,0.0434857,22.062,73.1051,0.992569,3.05933,0.683909,10.4457,5
6.83125,0.195524,0.395439,9.49496,0.0552502,39.4188,100.296,0.995582,2.97818,0.557417,10.4294,6
6.88921,0.39552,0.167421,12.7719,0.0317337,59.0922,187.099,0.997547,3.06755,0.492396,9.44467,5
7.52468,0.200964,0.393263,2.88965,0.0454822,30.2748,181.723,0.994311,3.47263,0.441055,10.8436,7
5.92053,0.314099,0.268974,1.56413,0.0553469,16.704,140.432,0.991556,3.22724,0.365447,10.5703,5
5.95727,0.196377,0.37392,9.64797,0.0309717,16.9723,45.9458,0.99332,3.0661,0.665852,12.0443,6
7.13877,0.198747,0.608755,16.1375,0.0448039,13.4611,102.715,0.998524,3.052,0.368357,9.23114,6
6.8179,0.217853,0.371761,14.8586,0.0502357,68.2418,179.508,0.999398,3.405,0.857161,9.29791,6
7.13139,0.262168,0.443224,7.69976,0.0269178,24.6879,124.378,0.992805,3.01803,0.338663,11.0813,8
7.61173,0.398958,0.274578,1.19788,0.0546642,21.7891,189.025,0.991495,3.21537,0.38233,11.5777,5
7.18792,0.40251,0.241077,8.53918,0.0548753,44.1285,152.731,0.996003,3.20637,0.520794,9.19581,5
6.6329,0.247512,0.296493,12.976,0.0537258,15.5937,143.806,0.998134,3.36798,0.491121,9.33247,6
9.85022,0.417371,0.484843,9.98616,0.0335977,3.94697,109.596,0.995948,2.87711,0.292189,10.0275,5
7.26275,0.311418,0.689766,10.5567,0.0392857,58.6593,160.998,0.997722,3.0582,0.453735,8.55891,5
5.68313,0.269671,0.161958,9.2272,0.0530726,32.3863,106.651,0.994561,3.36592,0.378742,10.4156,6
7.99615,0.189075,0.36318,1.37042,0.0403353,15.5097,95.8437,0.991166,3.06512,0.61037,12.115,6
5.79223,0.273659,0.263081,2.41901,0.0542953,29.9284,158.635,0.991734,3.53683,0.413655,12.4658,5
7.58438,0.162061,0.388968,12.966,0.0455204,70.3996,166.786,0.996934,3.15559,0.808821,10.3782,7
7.26906,0.309482,0.690877,10.0391,0.0408942,58.3129,159.192,0.997878,3.06052,0.452869,8.64157,5
5.07741,0.35989,0.256556,7.03525,0.034488,37.0127,119.085,0.992169,3.39131,0.390735,11.5644,6
6.1541,0.342737,0.307998,2.9149,0.0373314,38.7052,90.6805,0.989373,3.28045,0.529213,12.8278,7
7.07929,0.436489,0.245345,11.928,0.0530238,67.1338,209.488,0.997183,3.05547,0.492567,9.58593,5
7.3647,0.17539,0.294535,0.932729,0.0443084,11.2774,139.898,0.992039,3.19943,0.487962,11.2817,7
6.39432,0.300597,0.396336,8.03662,0.0405625,56.3464,209.486,0.994562,3.32323,0.431854,9.96106,5
7.52158,0.227456,0.283107,2.51254,0.0302155,25.5181,97.2431,0.992195,2.99638,0.541683,10.9338,6
6.29437,0.33521,0.276697,0.831551,0.0453264,33.9572,175.43,0.993572,3.37242,0.538517,9.61456,6
6.87627,0.263526,0.294716,4.08222,0.0413673,31.8061,116.978,0.990125,3.16771,0.313263,12.5444,6
7.35657,0.195942,0.266552,13.6483,0.0571803,44.9922,152.207,0.998029,2.93209,0.402604,8.85795,8
6.90597,0.175597,0.300814,1.71144,0.0484946,13.103,116.481,0.991497,3.1563,0.502874,11.6782,6
6.44928,0.273012,0.291812,2.74641,0.037613,26.6317,107.857,0.991196,3.31823,0.402413,11.6292,7
6.82544,0.247568,0.349461,4.89327,0.0369173,30.8825,105.667,0.992039,3.24302,0.453615,11.8981,6
